Name,Links,Cost,Collections,Cuisines,Timings,City,Area
Virgin Courtyard,https://www.zomato.com/chandigarh/virgin-courtyard-sector-7,"2,000","Romantic Dining, Fine Dining, Italian Favorites","Mediterranean, Italian, Pizza, Desserts",11:30 AM - 11:30 PM,Chandigarh,Sector 7
Pal Dhaba,https://www.zomato.com/chandigarh/pal-dhaba-sector-28,700,"Legendary Outlets, North Indian Legends","North Indian, Punjabi, Mughlai",11:00 AM - 11:00 PM,Chandigarh,Sector 28
Indian Coffee House,https://www.zomato.com/chandigarh/indian-coffee-house-sector-17,300,"Iconic Places, Pocket Friendly","South Indian, Fast Food, Street Food, Beverages",8:00 AM - 10:00 PM,Chandigarh,Sector 17
The Willow Cafe,https://www.zomato.com/chandigarh/the-willow-cafe-sector-10,"1,300","Best Cafes, Aesthetic Places","Cafe, Continental, Italian, Anglo-Indian",8:30 AM - 12:00 AM,Chandigarh,Sector 10
Hops N Grains,https://www.zomato.com/chandigarh/hops-n-grains-sector-9,"1,500","Microbreweries, Corporate Favorites, Nightlife","North Indian, Continental, Finger Food",12:00 PM - 12:00 AM,Chandigarh,Sector 9
Prankster,https://www.zomato.com/chandigarh/prankster-sector-26,"1,500","Trending This Week, Microbreweries, Live Music","Modern Indian, Fusion, Continental, Finger Food",12:00 PM - 1:00 AM,Chandigarh,Sector 26
Whistling Duck,https://www.zomato.com/chandigarh/whistling-duck-sector-26,"1,750","Fine Dining, Live Music, Top-Rated","Asian, European, North Indian",12:00 PM - 12:00 AM,Chandigarh,Sector 26
Dastaan,https://www.zomato.com/chandigarh/dastaan-sector-7,"1,500","Gourmet Dining, Premium Quality","Progressive Indian, North Indian",12:30 PM - 11:00 PM,Chandigarh,Sector 7
Uncle Jack's,https://www.zomato.com/chandigarh/uncle-jacks-sector-8,600,"Quick Bites, Desserts & Shakes","American, Fast Food, Desserts, Beverages",10:00 AM - 11:00 PM,Chandigarh,Sector 8
Saffron - JW Marriott,https://www.zomato.com/chandigarh/saffron-jw-marriott-sector-35,"2,500","Luxury Dining, Five Star Properties","North Indian, Mughlai, Awadhi",7:00 PM - 11:30 PM,Chandigarh,Sector 35
The Brew Estate,https://www.zomato.com/chandigarh/the-brew-estate-sector-26,"1,800","Microbreweries, Popular Hangouts","North Indian, Continental, Pizza, Finger Food",11:00 AM - 12:00 AM,Chandigarh,Sector 26
Barbeque Nation,https://www.zomato.com/chandigarh/barbeque-nation-sector-26,"1,400","Great Buffets, Family Dining","Barbeque, North Indian, Kebab, Desserts",12:00 PM - 11:00 PM,Chandigarh,Sector 26
Pirates of Grill,https://www.zomato.com/chandigarh/pirates-of-grill-industrial-area,"1,300","Great Buffets, Elante Mall Favorites","Barbeque, North Indian, Asian, Mughlai",12:00 PM - 11:00 PM,Chandigarh,Industrial Area Phase 1
Ghazal,https://www.zomato.com/chandigarh/ghazal-sector-17,"1,200","Legendary Outlets, Family Dining","North Indian, Mughlai, Chinese",11:00 AM - 11:00 PM,Chandigarh,Sector 17
Pashtun,https://www.zomato.com/chandigarh/pashtun-sector-35,"1,000","Family Dining, Authentic Flavors","North Indian, Mughlai, Mughlai",11:00 AM - 11:00 PM,Chandigarh,Sector 35
Casa Bella Vista,https://www.zomato.com/chandigarh/casa-bella-vista-sector-10,"1,200","Vegetarian Only, European Vibe","Italian, Pizza, Cafe, Salad",11:00 AM - 11:00 PM,Chandigarh,Sector 10
Nik Baker's,https://www.zomato.com/chandigarh/nik-bakers-sector-9,800,"Best Bakeries, Breakfast Places","Bakery, Desserts, Fast Food, Italian",8:00 AM - 11:00 PM,Chandigarh,Sector 9
Backpackers Cafe,https://www.zomato.com/chandigarh/backpackers-cafe-sector-9,"1,000","Best Cafes, All Day Breakfast","Cafe, Continental, Fast Food, Beverages",8:30 AM - 11:30 PM,Chandigarh,Sector 9
Swagath Restaurant & Bar,https://www.zomato.com/chandigarh/swagath-restaurant-bar-sector-26,"1,500","Family Dining, Seafood Specialties","North Indian, South Indian, Seafood, Chinese",11:30 AM - 11:30 PM,Chandigarh,Sector 26
Gopal's,https://www.zomato.com/chandigarh/gopals-sector-8,500,"Sweet Tooth, Vegetarian Only","Mithai, North Indian, Fast Food, Street Food",8:00 AM - 10:30 PM,Chandigarh,Sector 8
